;DR 1+;DR 1-;DR 2+;DR 2-;DR 3+;DR 3-;DR 4+;DR 4-;DR 5+;DR 5-;DR 6+;DR 6-;DR 7+;DR 7-;DR 8+;DR 8-;DR 9+;DR 9-;DR 10+;DR 10-;DR 11+;DR 11-;DR 20+
A1CF;0.011637471;0.00837916;0.00036530106;0.14132309;0.09321801;0.0006661312;0.010264976;0.0020679901;5.7920417e-05;7.4569016;0.025725868;0.018842105;0.00017614347;0.03017011;4.033239e-06;0.017124936;1.531872e-05;0.015171107;5.8636665e-06;0.019238735;3.2562075e-05;0.007819371;0.0036803726
A2M;1.491141e-08;2.299036;0.00051500194;0.0012550359;0.00086122914;0.00057355245;1.0389651e-06;1.0233567;0.00011315099;0.03899727;0.19119054;0.000184514;2.862339e-05;0.00054512254;4.069983e-06;0.0024694705;1.5910855e-05;0.0016157409;9.057017e-08;0.17998825;4.3529062e-07;2.722947;0.0035866094
A4GALT;0.0027014443;0.97609454;0.002575665;0.025224667;0.04317107;0.0025597792;0.008962181;0.03071777;0.0002225856;0.9542968;0.05330859;0.0016598715;0.000111962356;0.006148261;6.4420296e-05;0.011003719;0.000264262;0.000637643;3.9769266e-06;0.08642337;1.9645968e-06;0.32802135;0.15710294
AAAS;0.009470557;0.04397172;0.0004415367;0.093335144;0.018114954;0.0019111126;0.0080998335;0.021637684;0.00010213551;7.672323;0.043062918;0.017666738;0.00014882143;0.016741296;8.343654e-05;0.016692806;2.327844e-05;0.014651915;3.9941096e-06;0.05740187;1.717568e-05;0.026391068;0.003304587
AARD;0.013938003;0.36118013;0.0045027426;0.11895797;0.09614017;0.0020759506;0.020079851;0.028073307;0.009293348;0.0704405;0.12892821;0.033201575;0.0003305875;0.04247615;5.324749e-06;0.103949174;4.55744e-05;0.017335713;4.7514e-06;0.15260993;3.270783e-05;0.04542838;0.010658675
ABCA12;0.009665129;0.17787625;0.007660605;0.2561866;0.15592492;0.0043827244;0.034448735;0.073097385;0.016031269;0.06895597;0.13323686;0.0027034539;0.0019863215;0.019459058;3.848925e-06;0.10996677;6.36863e-05;0.025475075;2.1064238e-06;0.21042891;0.00011085877;0.052431576;0.0040790727
ABCA3;0.00072368927;0.007190315;0.0012055468;0.00103071;0.0031511176;0.0013198826;0.0008925748;0.0026386955;6.877443e-06;13.677186;0.01018156;0.0016277904;1.2636035e-05;0.0024716896;1.2883077e-06;0.005981258;1.2504038e-05;0.00012079957;2.6480947e-07;0.020279417;7.507572e-07;0.026991017;0.009840745
ABCA8;0.009955689;0.07934191;0.0058118016;0.06445286;0.021851148;0.016162243;0.002658877;0.004549539;0.00043097636;1.0254459;0.32716164;0.0010560008;0.00018405584;0.0111763915;9.2420334e-05;0.02672735;0.00087011955;0.00024370667;1.7547563e-06;0.2724865;5.1969753e-05;0.0072889295;0.004349469
ABCB11;0.017270265;0.066185355;0.003588722;0.14479248;0.10483377;0.0050379345;0.062227525;0.052422993;0.007578891;1.2668259;0.0914345;0.00395159;0.00050668156;0.036059394;4.482064e-06;0.036352493;3.9489125e-05;0.018526811;3.0825856e-06;0.1536352;0.0002467308;0.013221462;0.052919768
ABCB6;0.051133346;0.21830314;0.0045531625;0.2809274;0.051035468;0.022518242;0.08581708;0.026141262;0.047884453;0.02950558;0.25274292;0.028437141;0.00022634656;0.11726312;6.878317e-06;0.1836229;0.0004926569;0.014561187;8.07476e-06;0.18580733;0.00012507894;0.09908108;0.0063341637
